,listing_id,id,date,reviewer_id,reviewer_name,comments,sentiment,duration
0,42932,6993655.0,2013-09-02,3815640.0,Christianne,stayed cecilie apartment 2 weeks working oslo cecilie perfect host apartment spacious comfortable absolutely beautiful located great part town close aker brygge town centre high recommended,0.9542,2 weeks
2,42932,24592137.0,2014-12-31,2092478.0,Anne-Marie,apartment described nice cozy stayed christmas break since restaurants closed oslo days mentioned would try dinner home december 24 cecilie kindly offered prepare traditional norwegian dinner three us food amazing felt right home soon arrived apartment well situated close everything downtown,0.8979,days
3,42932,30332056.0,2015-04-20,8016527.0,Jennifer,absolutely wonderful time cecilie apartment location perfect anyone visiting city walking distance everything would want see greeted us train station oriented us gave short tour area walked us lovely flat apartment exactly depicted images nicer clear takes great pride place decorated maintained well left bottle champagne chocolates us welcoming gift made available weekend issues questions literally could asked better host apartment location look forward coming back place next time oslo,0.989,weekend
6,42932,45387998.0,2015-09-02,12374638.0,Lye-Ying,cecilie kind enough meet us train station 5 minute walk apartment helped us luggage welcome building elevator br apartment location wonderfully central take public transport even 3 days harbour museums city centre easy walk away yet street noise minimal br one thing fault would creaky floorboards expected building hundred years old closets means clothes hung rail problem br cecilie wonderful host arrived cold drinks fruit nibbles texted us next morning make sure found everything ok responded quickly questions br really enjoyed stay cecilie apartment hope return day br thank cecilie,0.975,3 days
9,42932,64519610.0,2016-03-05,61626016.0,Ina,host canceled reservation 7 days arrival automated posting,0.0,reservation 7 days
11,42932,72850695.0,2016-05-05,70341389.0,Þórður,host canceled reservation day arrival automated posting,0.0,reservation day
12,42932,73610124.0,2016-05-09,11530053.0,Anders,host canceled reservation day arrival automated posting,0.0,reservation day
13,42932,156377650.0,2017-05-30,11380782.0,Paul,used apartment two months cecile helpful quick communications always hand lend hand apartment beautifully furnished would highly recommend base oslo,0.9402,two months
21,42932,192841450.0,2017-09-11,15509748.0,Julie,avid airbnb user booked cecilie place 80 year old mom friend cecilie met train also helped find way around town even woke 4am one day make sure taxi early train br br grateful communication trip felt like mom good hands perfect location lovely apartment br br thank cecilie,0.9753,80 year old
30,42932,434965834.0,2019-04-09,41042663.0,Stian Andreas,host canceled reservation 56 days arrival automated posting,0.0,reservation 56 days
31,42932,436076601.0,2019-04-12,167865668.0,Georgios,great apartment location host stayed total 3 months apartment enjoyed stay well interactions cecilie extremely helpful,0.9117,3 months
32,42932,439196065.0,2019-04-18,243472984.0,Iñigo,host canceled reservation 51 days arrival automated posting,0.0,reservation 51 days
